,name,lat,lng,city
0,Новокосино,55.745113,37.864052,Москва
1,Новогиреево,55.752237,37.814587,Москва
2,Перово,55.75098,37.78422,Москва
3,Шоссе Энтузиастов,55.75809,37.751703,Москва
4,Авиамоторная,55.751933,37.717444,Москва
5,Площадь Ильича,55.747115,37.680726,Москва
6,Марксистская,55.740746,37.65604,Москва
7,Третьяковская,55.741125,37.626142,Москва
8,Ховрино,55.8777,37.4877,Москва
9,Беломорская,55.8651,37.4764,Москва
10,Речной вокзал,55.854152,37.476728,Москва
11,Водный стадион,55.838978,37.487515,Москва
12,Войковская,55.818923,37.497791,Москва
13,Сокол,55.805564,37.515245,Москва
14,Аэропорт,55.800441,37.530477,Москва
15,Динамо,55.789704,37.558212,Москва
16,Белорусская,55.777439,37.582107,Москва
17,Маяковская,55.769808,37.596192,Москва
18,Тверская,55.765343,37.603918,Москва
19,Театральная,55.758808,37.61768,Москва
20,Новокузнецкая,55.742391,37.62928,Москва
21,Павелецкая,55.729741,37.638693,Москва
22,Автозаводская,55.706634,37.657008,Москва
23,Технопарк,55.695,37.664167,Москва
24,Коломенская,55.677423,37.663719,Москва
25,Каширская,55.655745,37.649683,Москва
26,Кантемировская,55.636107,37.656218,Москва
27,Царицыно,55.620982,37.669612,Москва
28,Орехово,55.61269,37.695214,Москва
29,Домодедовская,55.610131,37.717111,Москва
30,Красногвардейская,55.614075,37.742697,Москва
31,Алма-Атинская,55.63349,37.765678,Москва
32,Медведково,55.888103,37.661561999999996,Москва
33,Бабушкинская,55.870641,37.664341,Москва
34,Свиблово,55.855558,37.653379,Москва
35,Ботанический сад,55.844597,37.637811,Москва
36,ВДНХ,55.819626,37.640751,Москва
37,Алексеевская,55.807794,37.638699,Москва
38,Рижская,55.792494,37.636114,Москва
39,Проспект Мира,55.781827,37.633199,Москва
40,Сухаревская,55.772315,37.63285,Москва
41,Тургеневская,55.765371,37.636732,Москва
42,Китай-город,55.756498,37.631326,Москва
43,Третьяковская,55.74073,37.625624,Москва
44,Октябрьская,55.731232,37.612851,Москва
45,Шаболовская,55.718828,37.607892,Москва
46,Ленинский проспект,55.70678,37.58499,Москва
47,Академическая,55.687147,37.5723,Москва
48,Профсоюзная,55.677671,37.562595,Москва
49,Новые Черемушки,55.670077,37.554493,Москва
50,Калужская,55.656681999999996,37.540075,Москва
51,Беляево,55.642357,37.526115,Москва
52,Коньково,55.631857,37.519156,Москва
53,Теплый Стан,55.61873,37.505912,Москва
54,Ясенево,55.606182,37.5334,Москва
55,Новоясеневская,55.601947,37.553017,Москва
56,Бульвар Рокоссовского,55.814916,37.732227,Москва
57,Черкизовская,55.802787,37.744863,Москва
58,Преображенская площадь,55.796321999999996,37.713582,Москва
59,Сокольники,55.789282,37.679895,Москва
60,Красносельская,55.780014,37.666097,Москва
61,Комсомольская,55.774072,37.654565,Москва
62,Красные ворота,55.768307,37.6478,Москва
63,Чистые пруды,55.76499,37.638293,Москва
64,Лубянка,55.759889,37.625336,Москва
65,Охотный ряд,55.757228,37.615078,Москва
66,Библиотека им.Ленина,55.752123,37.610388,Москва
67,Кропоткинская,55.745297,37.604217,Москва
68,Парк культуры,55.736163,37.595027,Москва
69,Фрунзенская,55.727462,37.58022,Москва
70,Спортивная,55.722388,37.562041,Москва
71,Воробьевы горы,55.709169,37.557293,Москва
72,Университет,55.69329,37.534511,Москва
73,Проспект Вернадского,55.676549,37.504584,Москва
74,Юго-Западная,55.663146,37.482852,Москва
75,Тропарево,55.6459,37.4725,Москва
